DB12352,structures_ligand_09134_out.pdbqt,-17.9
DB12279,structures_ligand_09077_out.pdbqt,-16.7
DB13041,structures_ligand_09697_out.pdbqt,-16.5
DB11822,structures_ligand_08697_out.pdbqt,-16.4
DB12817,structures_ligand_09512_out.pdbqt,-16.1
DB14555,structures_ligand_11142_out.pdbqt,-16.0
DB12513,structures_ligand_09270_out.pdbqt,-16.0
DB00762,structures_ligand_00675_out.pdbqt,-16.0
DB01199,structures_ligand_01107_out.pdbqt,-15.8
DB06469,structures_ligand_05180_out.pdbqt,-15.7
DB05983,structures_ligand_04978_out.pdbqt,-15.7
DB00696,structures_ligand_00607_out.pdbqt,-15.7
DB15588,structures_ligand_11784_out.pdbqt,-15.7
DB06419,structures_ligand_05155_out.pdbqt,-15.6
DB12983,structures_ligand_09646_out.pdbqt,-15.6
DB12655,structures_ligand_09383_out.pdbqt,-15.6
DB00970,structures_ligand_00880_out.pdbqt,-15.5
DB00615,structures_ligand_00525_out.pdbqt,-15.5
DB12538,structures_ligand_09290_out.pdbqt,-15.4
DB00207,structures_ligand_00105_out.pdbqt,-15.4
DB14792,structures_ligand_11308_out.pdbqt,-15.4
DB13089,structures_ligand_09737_out.pdbqt,-15.4
DB02975,structures_ligand_02765_out.pdbqt,-15.3
DB06233,structures_ligand_05076_out.pdbqt,-15.2
DB13640,structures_ligand_10368_out.pdbqt,-15.2
DB15657,structures_ligand_11822_out.pdbqt,-15.2
DB09027,structures_ligand_07571_out.pdbqt,-15.2
DB04877,structures_ligand_04618_out.pdbqt,-15.2
DB03393,structures_ligand_03160_out.pdbqt,-15.1
DB14057,structures_ligand_10800_out.pdbqt,-15.0
DB01669,structures_ligand_01538_out.pdbqt,-15.0
DB00596,structures_ligand_00504_out.pdbqt,-15.0
DB00872,structures_ligand_00784_out.pdbqt,-15.0
DB13003,structures_ligand_09664_out.pdbqt,-14.9
DB15582,structures_ligand_11770_out.pdbqt,-14.9
DB15193,structures_ligand_11542_out.pdbqt,-14.9
DB15249,structures_ligand_11584_out.pdbqt,-14.9
DB11913,structures_ligand_08774_out.pdbqt,-14.9
DB00390,structures_ligand_00291_out.pdbqt,-14.9
DB13751,structures_ligand_10503_out.pdbqt,-14.9
DB11273,structures_ligand_08279_out.pdbqt,-14.9
DB12622,structures_ligand_09357_out.pdbqt,-14.9
DB14815,structures_ligand_11322_out.pdbqt,-14.8
DB14896,structures_ligand_11368_out.pdbqt,-14.8
DB06747,structures_ligand_05351_out.pdbqt,-14.8
DB05109,structures_ligand_04718_out.pdbqt,-14.8
DB02329,structures_ligand_02165_out.pdbqt,-14.8
DB05450,structures_ligand_04824_out.pdbqt,-14.8
DB12411,structures_ligand_09184_out.pdbqt,-14.7
DB14054,structures_ligand_10797_out.pdbqt,-14.7
DB02169,structures_ligand_02016_out.pdbqt,-14.7
DB11613,structures_ligand_08524_out.pdbqt,-14.7
DB14037,structures_ligand_10784_out.pdbqt,-14.7
DB09095,structures_ligand_07630_out.pdbqt,-14.7
DB11400,structures_ligand_08364_out.pdbqt,-14.7
DB12674,structures_ligand_09401_out.pdbqt,-14.7
DB00416,structures_ligand_00318_out.pdbqt,-14.6
DB12221,structures_ligand_09029_out.pdbqt,-14.6
DB00693,structures_ligand_00604_out.pdbqt,-14.6
DB12424,structures_ligand_09195_out.pdbqt,-14.6
DB15257,structures_ligand_11589_out.pdbqt,-14.5
DB00700,structures_ligand_00611_out.pdbqt,-14.5
DB13857,structures_ligand_10638_out.pdbqt,-14.5
DB02587,structures_ligand_02405_out.pdbqt,-14.5
DB04934,structures_ligand_04656_out.pdbqt,-14.5
DB15291,structures_ligand_11608_out.pdbqt,-14.5
DB01220,structures_ligand_01128_out.pdbqt,-14.5
DB01336,structures_ligand_01209_out.pdbqt,-14.5
DB13401,structures_ligand_10097_out.pdbqt,-14.5
DB11405,structures_ligand_08368_out.pdbqt,-14.5
DB01564,structures_ligand_01414_out.pdbqt,-14.4
DB07700,structures_ligand_06281_out.pdbqt,-14.4
DB01126,structures_ligand_01031_out.pdbqt,-14.4
DB06718,structures_ligand_05321_out.pdbqt,-14.4
DB12550,structures_ligand_09300_out.pdbqt,-14.4
DB13648,structures_ligand_10374_out.pdbqt,-14.4
DB13307,structures_ligand_09970_out.pdbqt,-14.4
DB14081,structures_ligand_10827_out.pdbqt,-14.4
DB12471,structures_ligand_09236_out.pdbqt,-14.3
DB12128,structures_ligand_08955_out.pdbqt,-14.3
DB01395,structures_ligand_01250_out.pdbqt,-14.3
DB02868,structures_ligand_02664_out.pdbqt,-14.3
DB06581,structures_ligand_05225_out.pdbqt,-14.3
DB12700,structures_ligand_09422_out.pdbqt,-14.3
DB01337,structures_ligand_01210_out.pdbqt,-14.3
DB13240,structures_ligand_09899_out.pdbqt,-14.3
DB12480,structures_ligand_09245_out.pdbqt,-14.3
